code,close,divi,cap,date
000505.SZ,3.11,,1246738279.2775002,20130801
000523.SZ,5.674054208250428,,3093886936.5999994,20130801
000568.SZ,17.08007123028685,8.458646616541353,29834697809.280003,20130801
000596.SZ,18.772851968742124,2.4378352023403216,9479296888.0,20130801
000639.SZ,4.009796699013424,1.510574018126888,3116742902.7000003,20130801
000702.SZ,3.92,,1045207537.9200001,20130801
000716.SZ,5.870943919507241,,3001200000.0,20130801
000729.SZ,5.756343223229332,1.6337510041889067,16984509541.449999,20130801
000735.SZ,5.345299352736958,,4761514120.0,20130801
000752.SZ,11.87904768771528,0.08326394671107412,3167739476.91,20130801
000798.SZ,6.380761261996929,0.9302325581395349,2060484750.0,20130801
000799.SZ,17.081995816715587,1.1325028312570782,5738245786.8,20130801
000833.SZ,5.403619088620223,1.7889087656529523,1655019449.1999996,20130801
000848.SZ,6.951375053046124,1.2798634812286689,9410260654.08,20130801
000858.SZ,16.09307065118646,4.162330905306972,72958480358.4,20130801
000860.SZ,8.516947993718915,0.21815008726003496,5025668400.0,20130801
000869.SZ,27.93739022555258,3.436426116838487,19645645479.48288,20130801
000876.SZ,4.131729933960626,1.2383900928792568,16838018520.9,20130801
000895.SZ,16.49798477000723,1.6917293233082709,87803080075.2,20130801
000911.SZ,5.84,,1673977600.0,20130801
000929.SZ,7.989257264274357,,1497273960.0,20130801
000930.SZ,3.7136841912556795,0.5154639175257733,3741915126.2,20130801
000972.SZ,3.54,,2730343869.66,20130801
000995.SZ,8.66,,1536353280.0,20130801
000998.SZ,10.539132231760703,0.6824385805277525,9139284000.0,20130801
001201.SZ,,,,20130801
001206.SZ,,,,20130801
001215.SZ,,,,20130801
001218.SZ,,,,20130801
001219.SZ,,,,20130801
001222.SZ,,,,20130801
001313.SZ,,,,20130801
001318.SZ,,,,20130801
001338.SZ,,,,20130801
002041.SZ,8.949536148608784,0.43478260869565216,8096000000.0,20130801
002069.SZ,11.446666020351717,2.595155709342561,8220456962.639999,20130801
002086.SZ,4.130623896620722,,2021516499.9999998,20130801
